method,metric,mean,ci95,n
calibrated_precontact_microslip_v5,auroc,0.554527,0.022015,10
calibrated_precontact_microslip_v5,average_precision,0.800884,0.016089,10
calibrated_precontact_microslip_v5,control_chatter,0.130102,0.001302,10
calibrated_precontact_microslip_v5,damage_rate,0.094010,0.005792,10
calibrated_precontact_microslip_v5,early_recall,0.946631,0.004224,10
calibrated_precontact_microslip_v5,ece,0.080422,0.009766,10
calibrated_precontact_microslip_v5,false_alarm_rate,0.915611,0.016719,10
calibrated_precontact_microslip_v5,gross_slip,0.423828,0.013813,10
calibrated_precontact_microslip_v5,intervention_cost,0.339568,0.002079,10
calibrated_precontact_microslip_v5,lead_time_margin,0.359699,0.002149,10
calibrated_precontact_microslip_v5,recovery_success,0.244141,0.004601,10
calibrated_precontact_microslip_v5,robust_utility,-0.022580,0.012993,10
calibrated_precontact_microslip_v5,task_success,0.327995,0.008348,10
conformal_precontact_risk,auroc,0.560482,0.016076,10
conformal_precontact_risk,average_precision,0.802580,0.008189,10
conformal_precontact_risk,control_chatter,0.059228,0.000759,10
conformal_precontact_risk,damage_rate,0.105990,0.007007,10
conformal_precontact_risk,early_recall,0.819497,0.005521,10
conformal_precontact_risk,ece,0.075341,0.006678,10
conformal_precontact_risk,false_alarm_rate,0.756492,0.028188,10
conformal_precontact_risk,gross_slip,0.483594,0.009701,10
conformal_precontact_risk,intervention_cost,0.231838,0.002087,10
conformal_precontact_risk,lead_time_margin,0.305826,0.002676,10
conformal_precontact_risk,recovery_success,0.144141,0.007148,10
conformal_precontact_risk,robust_utility,-0.119518,0.008455,10
conformal_precontact_risk,task_success,0.232422,0.007028,10
ensemble_uncertainty_guard,auroc,0.554263,0.015209,10
ensemble_uncertainty_guard,average_precision,0.798451,0.009689,10
ensemble_uncertainty_guard,control_chatter,0.186359,0.000648,10
ensemble_uncertainty_guard,damage_rate,0.088802,0.005679,10
ensemble_uncertainty_guard,early_recall,0.991708,0.002329,10
ensemble_uncertainty_guard,ece,0.094259,0.008442,10
ensemble_uncertainty_guard,false_alarm_rate,0.986307,0.003851,10
ensemble_uncertainty_guard,gross_slip,0.415625,0.013732,10
ensemble_uncertainty_guard,intervention_cost,0.456601,0.000853,10
ensemble_uncertainty_guard,lead_time_margin,0.361200,0.002197,10
ensemble_uncertainty_guard,recovery_success,0.241797,0.011183,10
ensemble_uncertainty_guard,robust_utility,-0.055605,0.011635,10
ensemble_uncertainty_guard,task_success,0.318099,0.013435,10
force_derivative_detector,auroc,0.513326,0.016353,10
force_derivative_detector,average_precision,0.781290,0.009373,10
force_derivative_detector,control_chatter,0.032026,0.000660,10
force_derivative_detector,damage_rate,0.134245,0.008511,10
force_derivative_detector,early_recall,0.432781,0.012371,10
force_derivative_detector,ece,0.287549,0.008094,10
force_derivative_detector,false_alarm_rate,0.420552,0.016683,10
force_derivative_detector,gross_slip,0.608984,0.010861,10
force_derivative_detector,intervention_cost,0.121720,0.001417,10
force_derivative_detector,lead_time_margin,0.255236,0.003287,10
force_derivative_detector,recovery_success,0.037239,0.003119,10
force_derivative_detector,robust_utility,-0.266787,0.011096,10
force_derivative_detector,task_success,0.122396,0.008507,10
friction_cone_margin,auroc,0.550719,0.014883,10
friction_cone_margin,average_precision,0.796821,0.013249,10
